,image_link,title,loose_price,cib_price,new_price
0,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95CxmEMGGp-xs5c-74pvOS_6AYiX0D8ZiWbVm6ZlgGauuyDFmkCvylleg-BElu8gYH9NlkRjfXfmbDcdouju-8qY0MSCsyVtbDOfy8BzGYvz3yLYvlv2ph8n0_z3vdySJZwRnQ_i_ZMvzvjwTCR3T6qQNhUAA/60.jpg,007 GoldenEye,$10.12,$11.88,$37.50
1,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95_iJtJTjkV0n9EnAxYK3kinIgkO8d3_qCl7TP8uB-4O10FhxXdrdLBe9H5R6vRKG5awjibdJb1_iZXvjScHGqaYB2w6gnX3YzUPmODHLYrDfRLMT8HiUXDLhBHwu0vuBjh_v5krRM2Y_Wva1-J2uQnK4vQTw/60.jpg,007 Quantum of Solace,$5.16,$5.99,$10.64
2,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96b1JKtoYQKG39uYsrAG7ERG9vbxViV35uQU1yipfdCbsE3pQRP5Xu-Z7qVefPt4f2Y9PGxvxp9h50jl2w6_BeAORV0kUYzaT3imTJaOdtu5aY46B8mQcXvJwhjAgCmZuJ1HmntAByzYFI1mO5N7wTdczruew/60.jpg,10 Minute Solution,$5.45,$6.15,$10.09
3,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94WAa4gR5luwExFelCGRdXsQj83xv_8dsEyx5d7ahjs4PEea_lVF12lmtxJ6YAgIa6QXbA27Z0_WWoWA9eCYXYf0ROz3-6jRwMmvCqtmrUpAZxvybBgpjBIfbIwDZrm-7Fcz3ZQqvf6Wa4NJujCDANr3JCKTg/60.jpg,101-in-1 Party Megamix,$5.72,$6.99,$11.39
4,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv950DdOExpZcLpk4ZD2cKsfbvYNBhrowMoIY1zNea7WUhfVK0fATHNWOC3OZNz4tH_yktkGBc9qqoZXFWAQIr8y79_abDcgf5cgi7ohkeL6Alf7lhrXdc4dpn0qhYIitJIroxamiAszW3DsI-7_hgErjqZ7qUA/60.jpg,101-in-1 Sports Party Megamix,$6.88,$8.47,$102.29
5,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97HLCfwDtMTKgXe90hcMo7kWH8nQuVJEtS9yYpieAiBNWDhKprO6EusDcztTliJQt3VtC0ZOZly8akWkmrgCwqMhJZLFiASH4rXbXJtICUxiHwPgseRCvvfwBR4UiWqG9F2xc5kywi3aSr6qeDjeZxROMHvLg/60.jpg,2 for 1 Power Pack Kawasaki Jet Ski & Summer Sports 2,$21.97,$26.98,$122.40
6,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95sPbVemfA4jjbrtUmf57r6Oqs32IwG5Hsz10JFUACg79hAL1T7A2KoSq44rkQWYrjFu_8Qg6kQO522zF_19u1HrKcwwoV1nhdiX560kaxvedR2ByjkD8VLoRAEWYAueoQ_i76KrQQwAa2L1qcKx3SNXnlvTg/60.jpg,2 for 1 Power Pack Winter Blast & Summer Sports 2,$32.07,$40.89,$49.99
7,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96tRQiWgb83j1ZOPs9lRMyoxaY_nsw3ofOiggJpezg2ByEQtZaHkqcxd50lDtjuezkWAW--sE0x_3ghEW1nraloAOA0Xf-xKDi6EyAMhIennCjqea8ac2kCtjdBBiXkKnL2Kt32OasBQSFDrEpzsO_OttNPDA/60.jpg,2 for 1 Power Pack WWII Aces & Indianapolis 500 Legends,$53.52,$74.58,$149.00
8,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94BQaaemIXa7BbMmj3QfR_JOJOh2o_GRtt_AHeM2pq4C5b1jnY4KEBuGAg5sKGPJMpGmdvs_qsVX_Ebjq6zGCDOrduaOj63PdbRDPC1tmdK5_PI3XHr6GrGnLUo0p_SwQBQGbg5JlTHBzurej1hFK4yYzauLQ/60.jpg,2010 FIFA World Cup South Africa,$5.46,$6.27,$16.38
9,https://commondatastorage.googleapis.com/images.pricecharting.com/8097647976120381639f4a9a69dda27fc932aba915f15e590e4aac8935394950/60.jpg,A Boy and His Blob,$12.55,$15.69,$42.51
10,https://commondatastorage.googleapis.com/images.pricecharting.com/467cd150eee1c2d98d5f4788ddf642389a98f308c671ce7b0017894ac753481e/60.jpg,Abba You Can Dance,$9.85,$9.99,$20.92
11,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97mroAbPfNY8Bij4rbSGVS2HbCToNKaOogMIsyfrNqQqluAvFrMJpfIMw8qKc9JjtFqVOR38M6wvWIK5_3Z4OHbnwcF_1dygWI05uWXIGe9RlV8pgbjncE_LOOLpIDLJ2JvAIJLMqErSMZotGrxHJNjF_gIKw/60.jpg,Academy of Champions Soccer,$3.92,$6.04,$9.50
12,https://commondatastorage.googleapis.com/images.pricecharting.com/663b266536b7999096aaecf2218e9926be002635df9d7af505d4b694754d4063/60.jpg,AC/DC Live: Rock Band Fan Pack,,,
13,https://commondatastorage.googleapis.com/images.pricecharting.com/19f3e463b67b5c0dcefad9d252cf4391174af5c5353fb00aeff022a8699cc65a/60.jpg,AC/DC Live Rock Band Track Pack,$5.29,$5.34,$11.25
14,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv964R26tzYPBoFIGa_avKh-xm5J5afWDQiE8kM0JhReaS9AxlSK1CtKMwL01Qgd6re-RfOPgWRLT7-LpOsJutuG1ogXT--hhP2dz2CLaFu5-CRSDtODJjDoLI_gRUbUTG82Q5F3xc2iwgT6rghnFkY-w9xUSWQ/60.jpg,Action Girlz Racing,$6.25,$6.35,$8.99
15,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94itRMH3nuLZ5SRhgNHMs1Up-rzz0KN96lXXpv17ahZwBoVfQmUIogg1PvpZFP5JhFVuWOge-QJ4qH6FhOfxxFHyEGdZSi-9OsP6Kt5RSSVyz2il2lLMY5FzwuemKnUtCZHw4ap2qKlhCV9oyWcMLR2gRndGA/60.jpg,Active Life: Explorer,$7.99,$9.25,$27.06
16,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94HMzIMz1V-_mbAa6ey_QSiLkomIZKmQWj9aPa_0zdc3DMafNEze_ql6tHykF58H-0FvQJnJXADgnTVbC85TuE2xrbYP_2WVwBXTAEcF5AawQhr73DZpMpUD1Wo15cJHpuHaap-Oa7smhQazVIFzBw1MumUWg/60.jpg,Active Life: Extreme Challenge,$5.05,$7.85,$20.43
