,Platform,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PriceCharting_ID,Description,URL
0,nes,10-Yard Fight,"October 1, 1985",Everyone,Nintendo,Irem,Football,045496630270,12168,"10-Yard Fight
You’re the quarterback in this amazingly real football game!
Enjoy realistic grid iron action as you move your team up and down the field to victory. Run, pass, kick, punt – you call the plays in this true-to-life football game. Play against the computer, or against a friend, for hours of real football action. The sights, the sounds and the plays are so real, you’ll think you’re right on the fifty yard line!",https://www.pricecharting.com/game/nes/10-yard-fight
1,nes,1942,"November 1, 1986",Everyone,Capcom,Capcom,Shoot'em Up,"013388110032,021000613595",12169,"1942… you and daring fighter pilot “Super Ace,” are engaged in realistic, thrilling and challenging high-flying battles with the enemy.
Over land, on the sea and in the air, your own skill and dexterity….combined with Super Ace’s flying mastery, duel enemy pilots in fighter and bomber aircraft.
1942… it’s airplanes taking off and landing on ocean-going aircraft carriers… disrupting enemy formations ready to attack… intercepting enemy air warriors you must defeat by “blasting ‘em out of the sky.”
Will it be victory? Or defeat? It’s in your skillful hands!!!",https://www.pricecharting.com/game/nes/1942
2,nes,1943: The Battle of Midway,"October 1, 1988",Everyone,Capcom,Capcom,Shoot'em Up,013388110100,12170,"The most crucial and decisive battle of World War II is about to be fought…by you! Enemy forces are descending upon Midway Island. Enemy bombers, dive bombers and zeros are roaring over the island like a typhoon. The surrounding Pacific waters are teeming with enemy aircraft carriers.
	As the top gun of the Navy’s most elite crew of fighter pilots, you must pilot your specially-outfitted P-38 into the very midst of the enemy squadron. Equipped with an array of secret weapons, only you can turn the tide against the formidable enemy fleet.
	The outcome of history’s most fateful air/sea battle rests in your hands! Can you avenge Pearl Harbor?",https://www.pricecharting.com/game/nes/1943-the-battle-of-midway
3,nes,3D WorldRunner,"September 1, 1987",Everyone,Acclaim,Square,Action & Adventure,021481102014,8445,"The battle of a lifetime comes alive in 3-D!
Worldrunner the wildest of the space cowboys is out looking for adventure. Now he’s got it,ad he needs your help.
A strange world terrorized by Grax, the Alien Serpentbeast, has asked you, Worldrunner, for help. Knowing you can outrun, outjump and outblast anyone or anything, you race into battle.
But this is no ordinary fight. These battles will carry you to 8 strange planets filled with bottomless pits, shooting stars, and poisonous aliens. All sworn to defend their Serpent King. And each new world is ruled by an Alien Serpentbeast more terrifying and more powerful than anything you’ve ever seen before.
Are you ready Worldrunner? They’re waiting for you.",https://www.pricecharting.com/game/nes/3d-worldrunner
4,nes,720,"June 1, 1989",Everyone,Mindscape,Atari Games Corporation,Extreme Sports,050047103158,12171,"Hop on and hang ten as you crash around corners, swerve on sidewalks, and leap over the locals of Skate City, a skateboarder’s fantasy world where virtually every surface is skateable. Flip and twist around the street fighters, Frisbee throwers, hard bodies, and killer bees that jam city streets. Polish your skills and take your act to the skate parks where you’ll vie for medals and cash in downhill, jump, ramp, and slalom competition. Shoot the tubes, “catch air” as you fly off ramps – master all of the moves, including the dangerous 720. You’ll need every edge as you try to become champion of the skating world!",https://www.pricecharting.com/game/nes/720
5,nes,8 Eyes,"January 1, 1990",none,Taxan,Thinking Rabbit,Platformer,040886308593,12172,"Control man and bird in a fight for the eight jewels of power! 
After hundreds of years of chaos, mankind has finally emerged from the ruins of nuclear war.
This world of the distant future has once again flourished under the guidance of the Great King, who harnessed the power of the 8 Eyes to rebuild the planet.
	These strange jewels of power were formed at the eyes, or centers, of the eight nuclear explosions which nearly destroyed the Earth. In the wrong hands, the 8 Eyes could cause untold destruction… and no, they have been seized by the Great King’s eight Dukes, in a desperate bid to gain control of the world for themselves. They have banished the King to the nuclear wastelands, and already their squabbling threatens to plunge the world into war once again!
	The task of retrieving the 8 Eyes falls to you, Orin the Falconer, the bravest and mightiest of the King’s Guardsmen. With your fighting falcon, Cutrus, you must penetrate each of the Dukes’ castles. There you will face the Dukes’ soldiers, and battle strange nuclear mutants such as living skeletons, giant wasps, and mud men. You must defeat the monstrous Boss of each castle to retrieve the Jewel of Power he guards.
	Then, to complete your quest, return the 8 Eyes to the Altar of Peace to await the return of the Great King, so that he may finish the rebuilding of Earth. Your reward will be the eternal gratitude of all mankind!",https://www.pricecharting.com/game/nes/8-eyes
6,nes,A Boy and His Blob Trouble on Blobolonia,"January 1, 1990",Everyone,Absolute Entertainment,Imagineering,Action & Adventure,047875700130,12173,"Help Save Blobolonia!
	Blob has come from the distant plant Blobolonia in search of an Earth boy to help him save his world.
	Join him on this fantastic adventure in mysterious caverns beneath the earth searching for treasures. Then travel to Blobolonia to battle the evil emperor.
	Discover Blob’s amazing appetite for jellybeans, and the different transformations that occur with each flavor. Learn to use these shapes to overcome obstacles.
	A Boy and His Blob is a fantastic journey filled with constant surprises and humorous characters.",https://www.pricecharting.com/game/nes/a-boy-and-his-blob-trouble-on-blobolonia
7,nes,A Nightmare on Elm Street,"October 1, 1990",Not Applicable,LJN,Rare Ltd.,Platformer,023582051598,12174,"Something frightening has been happening on Elm Street lately. It seems that with each waking day another neighborhood teen has mysteriously passed away into the dark stillness of the night. Everyone says its “natural causes,” but it seems as if something (or someone) has been picking them off one by one in their sleep. It’s a horrible nightmare come true…and this nightmare has a name; Freddy Krueger.
	It’s up to you and your remaining friends to search Elm Street for his bones, which have been scattered about, then collect and burn them in the High School furnace. If you can just stay awake long enough, you might be able to end Freddy’s reign of terror for good. You had better hurry though, it’s getting late and you can feel your eyelids getting heavier and heavier by the minute.
	If fighting for survival against Freddy Krueger appears to be just a little too much for you to handle, don’t worry…because this is a NES Satellite compatible cartridge. With it you can call on 3 of your friends for help and the 4 of you can accept the challenge simultaneously. That doesn’t necessarily make it easier….it might simply mean that Freddy gets 4 new victims instead of just 1...that’s up to you.",https://www.pricecharting.com/game/nes/a-nightmare-on-elm-street
8,nes,Abadox,"March 1, 1990",Everyone,Milton Bradley,ITL,Shoot'em Up,032244040887,8451,"Your home planet of Abadox has been swallowed whole by the deadliest menace in space! Its name: Parasitis. Its prey: All surrounding life forms. Its goal: To feed on the entire universe!
	You are Second Lieutenant Nazal, the only surviving warrior of The World Alive Force. Parasitis has crushed The Force’s attack ships and consumed a hospital ship – with the beautiful Princess Maria still on board! Your mission: Blast your way inside Parasitis’ gruesome body and battle your way to its Core. Hurry! Princess Maria may still be alive!
	Hurtle down Parasitis’ throat, blast through its cellular walls! Fend off vicious, bloodthirsty organisms with guided missiles and lasers in Six Stages of Internal Combat! Kill each Stage’s guardian monsters soyou can reach the Core! Destroy Parasitis, rescue Princess Maria and save the Universe!",https://www.pricecharting.com/game/nes/abadox
9,nes,Action 52,"January 1, 1991",none,Active Enterprises,Active Enterprises,Action & Adventure,730669188800,8453,"Get 52 ""New and Original"" exciting games for play on your Nintendo System. Try to get Bill Bob out of the Dungeon where he is imprisoned to save Marylou. Go along with the ACTION GAMEMASTER as he changes into one of the fearsome CHEETAHMEN to try to defeat all of the ACTION 52 evil attackers. These two games plus an additional 50 games on this one ""Multi-GamePak"" will keep you entertained for a long time.",https://www.pricecharting.com/game/nes/action-52
