,PC_ID,title,loose_price,cib_price,new_price,image_link
0,30613,007 GoldenEye,10.20,11.50,55.51,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95CxmEMGGp-xs5c-74pvOS_6AYiX0D8ZiWbVm6ZlgGauuyDFmkCvylleg-BElu8gYH9NlkRjfXfmbDcdouju-8qY0MSCsyVtbDOfy8BzGYvz3yLYvlv2ph8n0_z3vdySJZwRnQ_i_ZMvzvjwTCR3T6qQNhUAA/60.jpg
1,15891,007 Quantum of Solace,5.13,6.03,10.68,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95_iJtJTjkV0n9EnAxYK3kinIgkO8d3_qCl7TP8uB-4O10FhxXdrdLBe9H5R6vRKG5awjibdJb1_iZXvjScHGqaYB2w6gnX3YzUPmODHLYrDfRLMT8HiUXDLhBHwu0vuBjh_v5krRM2Y_Wva1-J2uQnK4vQTw/60.jpg
2,21574,10 Minute Solution,5.45,5.92,9.83,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96b1JKtoYQKG39uYsrAG7ERG9vbxViV35uQU1yipfdCbsE3pQRP5Xu-Z7qVefPt4f2Y9PGxvxp9h50jl2w6_BeAORV0kUYzaT3imTJaOdtu5aY46B8mQcXvJwhjAgCmZuJ1HmntAByzYFI1mO5N7wTdczruew/60.jpg
3,19871,101-in-1 Party Megamix,5.85,6.55,9.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94WAa4gR5luwExFelCGRdXsQj83xv_8dsEyx5d7ahjs4PEea_lVF12lmtxJ6YAgIa6QXbA27Z0_WWoWA9eCYXYf0ROz3-6jRwMmvCqtmrUpAZxvybBgpjBIfbIwDZrm-7Fcz3ZQqvf6Wa4NJujCDANr3JCKTg/60.jpg
4,30857,101-in-1 Sports Party Megamix,6.17,7.99,99.45,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv950DdOExpZcLpk4ZD2cKsfbvYNBhrowMoIY1zNea7WUhfVK0fATHNWOC3OZNz4tH_yktkGBc9qqoZXFWAQIr8y79_abDcgf5cgi7ohkeL6Alf7lhrXdc4dpn0qhYIitJIroxamiAszW3DsI-7_hgErjqZ7qUA/60.jpg
5,30953,2 for 1 Power Pack Kawasaki Jet Ski & Summer Sports 2,21.97,24.99,133.86,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97HLCfwDtMTKgXe90hcMo7kWH8nQuVJEtS9yYpieAiBNWDhKprO6EusDcztTliJQt3VtC0ZOZly8akWkmrgCwqMhJZLFiASH4rXbXJtICUxiHwPgseRCvvfwBR4UiWqG9F2xc5kywi3aSr6qeDjeZxROMHvLg/60.jpg
6,39980,2 for 1 Power Pack Winter Blast & Summer Sports 2,31.49,40.89,49.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95sPbVemfA4jjbrtUmf57r6Oqs32IwG5Hsz10JFUACg79hAL1T7A2KoSq44rkQWYrjFu_8Qg6kQO522zF_19u1HrKcwwoV1nhdiX560kaxvedR2ByjkD8VLoRAEWYAueoQ_i76KrQQwAa2L1qcKx3SNXnlvTg/60.jpg
7,45786,2 for 1 Power Pack WWII Aces & Indianapolis 500 Legends,53.52,74.58,149.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96tRQiWgb83j1ZOPs9lRMyoxaY_nsw3ofOiggJpezg2ByEQtZaHkqcxd50lDtjuezkWAW--sE0x_3ghEW1nraloAOA0Xf-xKDi6EyAMhIennCjqea8ac2kCtjdBBiXkKnL2Kt32OasBQSFDrEpzsO_OttNPDA/60.jpg
8,21257,2010 FIFA World Cup South Africa,5.66,5.93,16.33,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94BQaaemIXa7BbMmj3QfR_JOJOh2o_GRtt_AHeM2pq4C5b1jnY4KEBuGAg5sKGPJMpGmdvs_qsVX_Ebjq6zGCDOrduaOj63PdbRDPC1tmdK5_PI3XHr6GrGnLUo0p_SwQBQGbg5JlTHBzurej1hFK4yYzauLQ/60.jpg
9,19745,A Boy and His Blob,11.97,15.43,42.73,https://commondatastorage.googleapis.com/images.pricecharting.com/8097647976120381639f4a9a69dda27fc932aba915f15e590e4aac8935394950/60.jpg
10,32249,Abba You Can Dance,9.99,11.59,20.97,https://commondatastorage.googleapis.com/images.pricecharting.com/467cd150eee1c2d98d5f4788ddf642389a98f308c671ce7b0017894ac753481e/60.jpg
