"Platform","Game Summary","Publisher","3D","Title","Series","Series Order","Rating","Genre","Subgenre","IGN Score","Release Date","Developers","Players","Country of Purchase","Input Devices","Media Type","Special Edition","Discs","Packaging","Quantity","Estimated Value","Purchase Price","Purchase Date","Condition","Notes","Barcode","Item ID","Date Added", Collection/Wishlist
"DS","An international conspiracy has placed the UK’s most secretive bio-chemical project into deadly hands, and only Her Majesty’s most lethal agent, James Bond, can unravel the mystery. To navigate through layers of corruption, you, as Bond, will embark on a global chase that will have you battling on land, sea and air through Athens, Istanbul, Monaco, and Bangkok. Nothing is what it seems as each adventure reveals a deeper and more sinister conspiracy. A mix of third-person gunplay, hand-to-hand combat and the driving action, James Bond 007: Blood Stone features Daniel Craig, Judi Dench and Joss Stone. The game features various modes and multiplayer mode for up to 16 people. Engage in precise cover-based gameplay and tactical firefights, and speed your way through explosive, adrenalin-fueled driving sequences. Become Bond as he engages in intense hand-to-hand combat and uses his environment to finish off enemies.","Activision","No","007: Blood Stone","","","T","Third Person Shooter","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$9.47","2021-06-07","Complete In Case","Lukie Games","047875837270","1147616","2021-06-11 16:28:17",Collection
"DS","James Bond is back to settle the score in Quantum of Solace: The Game. Introducing a more lethal and cunningly efficient Bond, the game blends intense first-person action with a unique third-person cover combat system that allows players to truly feel what it is like to be the ultimate secret agent as they use their stealth, precision shooting and lethal combat skills to progress through missions.
Seamlessly blending the heart-pounding action and excitement of the upcoming Quantum of Solace feature film with the Casino Royale movie, the title propels players into the cinematic experience of international espionage. Based on the renowned Call of Duty 4: Modern Warfare game engine that has been specifically engineered to immerse players in the Bond universe, Quantum of Solace: The Game delivers superior high-definition graphics, reactive AI and visually stunning locations inspired by locales portrayed in the films.","Activision","","007: Quantum Of Solace","","","T","First Person Shooter","","6.8","2008-11-04","Vicarious Visions","1","United States","Handheld Console","Cartridge","No","1","Snap Case","1","$5.39","$5.39","2011-12-07","Complete In Case","???","047875832756","960421","2019-01-03 20:16:45",Collection
"DS","","DSI Games","No","1 Vs 100","","","E","Trivia","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$3.33","2020-01-19","Complete In Case","eBay","802068101558","1046256","2020-01-23 22:47:22",Collection
"DS","Play classic games.","Ubisoft","No","100 All-Time Favorites","","","E","Board","","","2009-10-27","Ubisoft","2","United States","Handheld Console","Cartridge","","","Snap Case","1","","$7.99","2020-01-02","Used","Complete in Case
eBay","008888165675","1205319","2020-02-01 15:40:28",Collection
"DS","","Nintendo","No","100 Classic Books","","","E","Educational","","0.0","2010-06-14","Nintendo","1","United States","Handheld Console","Cartridge","","0","Snap Case","1","","$4.49","2019-12-31","Complete In Case","GameStop - Judson Market","045496740962","1162305","2020-02-01 21:01:24",Collection
"DS","","Maximum Family Games","No","1001 Touch Games","","","E","Compilation","","","2000-12-31","Avanquest Software","4","United States","Handheld Console","Cartridge","","","Snap Case","1","","$12.18","2019-12-09","Used","Complete in Case
eBay","814290011390","1183677","2020-02-01 16:33:42",Collection
"DS","","Atlus","","101 In 1 Sports Megamix","","","E10+","Sports, Compilation","","","1969-12-31","Atlus","2","United States","Handheld Console","Cartridge","No","","Snap Case","1","$20.00","$20.00","2012-08-08","Sealed In Case","Toys R Us","730865400362","1043405","2019-01-03 15:07:37",Collection
"Wii","Download","Atlus","","101 In 1: Party Megamix","","","E10+","Compilation","","","1969-12-31","Atlus","4","United States","Motion Sensing Remote","DVD","No","1","Snap Case","1","$5.99","$5.99","2013-08-05","","","730865700066","925715","2019-01-03 15:07:00",Collection
"DS","101 addictive games! Arcade, sports, puzzles, Suduko, and more!","Atlus","","101 in 1 Explosive Megamix","","","E","Platform","","2.5","2009-04-21","Atlus","2","United States","Handheld Console","Cartridge","No","1","Snap Case","1","","$13.49","2011-12-23","Complete In Case","???","730865400300","972094","2019-01-03 20:16:56",Collection
"Nintendo 64","Complete.","Nintendo","No","1080 Snowboarding","","","","Racing, Sports","","8.6","1998-11-30","Nintendo","2","Canada","Controller Game Pad","Cartridge","No","0","Cardboard Box","1","","","","","","045496870249","984618","2019-01-03 15:06:17",Collection
"DS","","Destineer","No","18 Classic Card Games","","","T","","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$4.99","2020-01-05","Complete In Case","eBay","828068213398","1334210","2020-01-20 15:28:47",Collection
"DS","50 classic games","Adventure Soft","No","50 Classic Games","","","E","Board, Compilation","","5","","Destineer","1","United States","Handheld Console","Cartridge","","","Snap Case","1","","$7.99","2019-12-30","Complete In Case","Game Over - 410","828068212810","963551","2020-01-21 22:25:33",Collection
"DS","","Destineer","No","50 More Classic Games","","","E","Compilation","","","1969-12-31","","1","United States","Handheld Console","Cartridge","","","Snap Case","1","","$4.77","2020-01-24","Used","Complete in Case
eBay","828068213374","1175285","2020-02-03 19:15:13",Collection
"Sega Genesis","Goldenaxe, Sonic The Hedgehog, Columns, Revenge Of Shinobi, Streets Of Rage, Super Hang-On
cib","Sega","No","6-Pak","","","E","Action, Fantasy, Fighting, Hack n’ Slash, Platform, Puzzle, Racing, Sports, Compilation","","8.0","1995-01-01","Sega","2","United States","Controller Game Pad","Cartridge","No","0","Thick Snap Case","1","","","","","","010086017175","1065297","2019-01-03 15:06:06",Collection
"DS","","Mumbo Jumbo","","7 Wonders II","","","E","Puzzle","","","1969-12-31","","","United States","Handheld Console","Cartridge","No","","Snap Case","1","$16.19","$16.19","","Complete In Case","???","811930106218","1064251","2019-01-03 15:07:37",Collection
"DS","","Mumbo Jumbo","No","7 Wonders of the Ancient World","","","E","Puzzle","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$9.47","2020-02-16","Complete In Case","Lukie Games","811930103439","930853","2020-02-23 20:02:50",Collection
"DS","","Mumbo Jumbo","No","7 Wonders: Treasures of Seven","","","E","Puzzle","","","1969-12-31","","1","United States","Handheld Console","Cartridge","","","Snap Case","1","","$5.99","2020-05-02","Sealed In Case","eBay","811930107987","1207861","2020-05-09 21:20:15",Collection
"3DS","","Sega","Yes","7th Dragon III Code: VFD (Launch Edition)","","","T","Role Playing Game","","","2016-07-12","Criware","1","United States","Handheld Console","Cartridge","Yes","0","Box Set","1","","$34.63","2016-07-12","Sealed In Box","Best Buy","010086611212","1504265","2019-01-11 19:38:06",Collection
"Wii","Feed the blob jellybeans to advance.","Majesco Entertainment","No","A Boy And His Blob","","","E","Platform, Puzzle","","7.6","2009-10-09","Wayforward","1","United States","Motion Sensing Remote","DVD","No","1","Snap Case","1","$6.29","$6.29","2013-03-23","","","096427016120","1340739","2019-01-03 15:06:43",Collection
"DS","","NIS America","No","A Witch’s Tale","","","E10+","Role Playing Game","","","2009-10-13","Hit Maker","1","United States","Handheld Console","Cartridge","No","1","Snap Case","1","","","2015-01-26","Used","Complete in Case
eBay","857823001376","1217798","2019-01-03 17:58:07",Collection
"Wii","","Mad Duck Productions","No","AMF Bowling Pinbusters!","","","E","Sports","","2.0","2007-11-20","Atomic Planet Entertainment","4","United States","Motion Sensing Remote","DVD","No","1","Snap Case","1","$4.00","$4.00","2018-06-04","Complete In Case","GameStop - University Heights","093155126503","1167216","2019-01-03 15:07:16",Collection
"DS","","Vir2L Studios","No","AMF Bowling Pinbusters!","","","E","Sports","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$11.55","2020-01-06","Complete In Case","eBay","093155127609","1167217","2020-01-20 15:23:51",Collection
"DS","","Majesco","No","ATV Quad Frenzy","","","E","Racing","","4.8","2005-11-22","Skyworks Interactive","4","United States","Handheld Console","Cartridge","No","0","Snap Case","1","","$11.69","2012-04-22","Complete In Case","???","096427014133","1228636","2019-01-03 18:47:55",Collection
"DS","","Storm City Games","No","ATV Quad Kings","","","E","Racing, Simulation","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$5.00","2019-11-26","Complete In Case","Game Over - 410","814157010085","1385457","2020-02-01 14:48:15",Collection
"DS","","DSI Games","No","ATV Thunder Ridge Riders / Monster Trucks Mayhem","","","E","Racing","","","2007-08-09","","1-2","United States","Handheld Console","Cartridge","","","Snap Case","1","","$7.99","2019-12-30","Complete In Case","Game Over - I-35","802068101084","1382233","2020-01-22 21:43:56",Collection
