,Platform,PC_ID,Merged_Title,loose_price,cib_price,new_price
0,Wii,19871.0,101IN1PARTYMEGAMIX,5.85,6.55,9.99
1,Wii,19745.0,ABOYHISBLOB,11.97,15.43,42.73
2,Wii,10874.0,AMFBOWLINGPINBUSTERS,6.94,7.89,14.99
3,Wii,19482.0,ACTIVELIFEEXTREMECHALLENGE,6.62,7.95,21.19
4,Wii,32210.0,ACTIVELIFEMAGICALCARNIVAL,7.0,7.43,12.95
5,Wii,14651.0,ACTIVELIFEOUTDOORCHALLENGE,6.44,7.07,19.99
6,Wii,6783.0,ALIENSYNDROME,5.14,5.99,11.04
7,Wii,19640.0,ANIMALKINGDOMWILDLIFEEXPEDITION,5.23,6.29,8.98
8,Wii,21626.0,ARCRISEFANTASIA,59.0,67.47,111.26
9,Wii,19792.0,ASTROBOYTHEVIDEOGAME,6.23,6.88,16.71
10,Wii,36213.0,BARBIEHERSISTERSPUPPYRESCUE,9.55,13.59,29.73
11,Wii,10346.0,BARBIEASTHEISLANDPRINCESS,6.29,6.38,15.0
12,Wii,15779.0,BARBIEHORSEADVENTURESRIDINGCAMP,8.79,11.19,18.0
13,Wii,16424.0,BAROQUE,18.95,24.45,42.99
14,Wii,10347.0,BATTALIONWARS2,10.23,12.67,37.96
15,Wii,6785.0,BIGBRAINACADEMYWIIDEGREE,4.95,5.2,11.48
16,Wii,6785.0,BIGBRAINACADEMYWIIDEGREE,4.95,5.2,11.48
17,Wii,16414.0,BIGFOOTCOLLISIONCOURSE,5.65,5.66,11.56
18,Wii,11356.0,BLASTWORKSBUILDTRADEDESTROY,5.36,6.97,10.98
19,Wii,8621.0,BLEACHSHATTEREDBLADE,7.35,11.13,37.5
20,Wii,21051.0,CALLING,51.6,53.81,73.86
21,Wii,16081.0,CALVINTUCKERSREDNECKJAMBOREE,4.61,5.13,12.64
22,Wii,16165.0,CANDACEKANESCANDYFACTORY,2.99,4.27,9.58
23,Wii,16019.0,CASTLEVANIAJUDGMENT,14.9,16.33,27.23
24,Wii,31886.0,CENTIPEDEINFESTATION,9.71,9.72,13.94
25,Wii,31880.0,CHAMPIONJOCKEYG1JOCKEYGALLOPRACER,16.99,22.09,44.0
26,Wii,21620.0,CHAOTICSHADOWWARRIORS,3.56,4.99,16.13
27,Wii,21367.0,CITYBUILDER,5.5,7.83,13.69
28,Wii,14487.0,COCOTOMAGICCIRCUS,5.24,6.42,6.95
29,Wii,0.0,CONDUIT2LIMITEDEDITION,,,
30,Wii,8766.0,COUNTERFORCE,4.5,6.41,6.86
31,Wii,22155.0,CRAYOLACOLORFULJOURNEY,4.56,4.69,9.86
32,Wii,0.0,CRAZYMINIGOLF2,,,
33,Wii,19559.0,CRUISESHIPVACATIONGAMES,4.72,6.42,9.4
34,Wii,19511.0,CURSEDMOUNTAIN,17.41,17.98,34.99
35,Wii,36666.0,CYBERBIKECYCLINGSPORTS,99.99,217.95,436.0
36,Wii,19668.0,DEADSPACEEXTRACTION,23.9,24.24,55.0
37,Wii,0.0,DEADRISINGCHOPTILLYOUDROP,,,
38,Wii,13815.0,DEATHJRROOTOFEVIL,9.95,13.38,26.77
39,Wii,0.0,DECASPORTSNINTENDOWII,,,
40,Wii,11881.0,DESTROYALLHUMANSBIGWILLYUNLEASHED,4.15,6.96,19.99
41,Wii,7305.0,DEWYSADVENTURE,7.65,8.84,21.21
42,Wii,15727.0,DOKAPONKINGDOM,57.49,74.38,169.15
43,Wii,20386.0,DOMINORALLY,5.99,7.68,14.74
44,Wii,17473.0,DONKINGBOXING,6.32,8.49,16.28
45,Wii,30775.0,DONKEYKONGCOUNTRYRETURNS,12.85,14.57,34.0
46,Wii,10876.0,DRAGONBALLZBUDOKAITENKAICHI3,45.0,51.74,149.99
47,Wii,10876.0,DRAGONBALLZBUDOKAITENKAICHI3,45.0,51.74,149.99
48,Wii,8863.0,DRAGONBLADEWRATHOFFIRE,5.95,6.99,14.51
49,Wii,12099.0,DRAGONQUESTSWORDSTHEMASKEDQUEENTHETOWEROFMIRRORS,14.25,18.83,37.07
50,Wii,13145.0,DREAMPINBALL3D,5.53,6.97,7.5
51,Wii,7321.0,ELEBITS,7.1,8.84,21.76
52,Wii,13222.0,EMERGENCYMAYHEM,6.72,8.3,11.61
53,Wii,0.0,ENDLESSOCEAN2BLUEWORLD,,,
54,Wii,30791.0,EPICMICKEY,4.95,5.97,15.42
55,Wii,7323.0,EXCITETRUCK,6.9,9.01,36.6
56,Wii,18725.0,EXCITEBOTSTRICKRACING,7.78,9.0,24.99
57,Wii,32354.0,F12009,35.55,36.83,128.4
58,Wii,0.0,FINALFANTASYCRYSTALCHRONICLESTHECRYSTALBEARERS,,,
59,Wii,14065.0,FINALFANTASYFABLESCHOCOBOSDUNGEON,18.0,19.81,50.67
60,Wii,10353.0,FIREEMBLEMRADIANTDAWN,110.29,113.7,160.81
61,Wii,7332.0,FISHINGMASTER,7.49,9.68,16.15
62,Wii,18540.0,FISHINGMASTERWORLDTOUR,7.0,9.93,23.26
63,Wii,0.0,FISHINGRESORTBUNDLE,,,
64,Wii,31872.0,FLINGSMASH,6.73,7.16,8.26
65,Wii,32379.0,FORTUNESTREET,24.99,26.51,49.99
66,Wii,21068.0,FRAGILEDREAMSFAREWELLRUINSOFTHEMOON,77.83,85.18,116.25
67,Wii,20432.0,FREERUNNING,11.99,16.14,24.99
68,Wii,7342.0,GTPROSERIES,4.05,7.13,18.13
69,Wii,10877.0,GAMEPARTY,4.01,4.08,11.79
70,Wii,32155.0,GEMSMASHERS,5.39,7.01,13.99
