,Platform,Merged_Title,loose_price,cib_price,new_price
0,Wii,101IN1PARTYMEGAMIX,$5.72,$6.99,$11.39
1,Wii,ABOYHISBLOB,$12.55,$15.69,$42.51
2,Wii,AMFBOWLINGPINBUSTERS,$6.59,$7.55,$16.73
3,Wii,ACTIVELIFEMAGICALCARNIVAL,$8.24,$8.99,$12.95
4,Wii,ALIENSYNDROME,$5.14,$6.03,$12.71
5,Wii,ARCRISEFANTASIA,$63.00,$69.66,$111.40
6,Wii,BATTALIONWARSII,,,
7,Wii,BIGBRAINACADEMYWIIDEGREE,$5.15,$5.24,$11.47
8,Wii,CALLING,$50.97,$52.00,$74.88
9,Wii,CALVINTUCKERSREDNECKJAMBOREE,$4.65,$5.65,$9.97
10,Wii,CANDACEKANESCANDYFACTORY,$4.39,$4.75,$10.21
11,Wii,CASTLEVANIAJUDGMENT,$11.38,$16.99,$27.05
12,Wii,CENTIPEDEINFESTATION,$9.57,$9.86,$15.95
13,Wii,CITYBUILDER,$5.42,$7.58,$13.69
14,Wii,CONDUIT2LIMITEDEDITION,,,
15,Wii,CRUISESHIPVACATIONGAMES,$4.57,$6.42,$9.64
16,Wii,CURSEDMOUNTAIN,$18.13,$18.49,$34.25
17,Wii,DEADSPACEEXTRACTION,$23.21,$25.24,$54.06
18,Wii,DEWYSADVENTURE,$6.90,$9.04,$20.99
19,Wii,DOKAPONKINGDOM,$61.57,$81.22,$193.75
20,Wii,DOMINORALLY,$5.99,$7.69,$14.74
21,Wii,DONKEYKONGCOUNTRYRETURNS,$13.00,$13.49,$30.00
22,Wii,DRAGONBALLZBUDOKAITENKAICHI3,$44.13,$51.00,$149.99
23,Wii,DRAGONBLADEWRATHOFFIRE,$5.95,$7.09,$14.44
24,Wii,DRAGONQUESTSWORDSTHEMASKEDQUEENTHETOWEROFMIRRORS,$11.99,$19.96,$39.99
25,Wii,EPICMICKEY,$5.56,$6.29,$17.09
26,Wii,EXCITEBOTSTRICKRACING,$8.44,$9.12,$24.99
27,Wii,F12009,$39.14,$39.95,$126.90
28,Wii,FINALFANTASYCRYSTALCHRONICLESTHECRYSTALBEARERS,,,
29,Wii,FINALFANTASYFABLESCHOCOBOSDUNGEON,$18.15,$19.79,$50.67
30,Wii,FIREEMBLEMRADIANTDAWN,$119.19,$119.56,$161.39
31,Wii,FISHINGMASTERWORLDTOUR,$6.25,$8.62,$23.29
32,Wii,FISHINGRESORTBUNDLE,,,
33,Wii,FLINGSMASH,$6.09,$6.73,$8.25
34,Wii,FORTUNESTREET,$23.49,$25.50,$50.50
35,Wii,FRAGILEDREAMSFAREWELLRUINSOFTHEMOON,$77.50,$91.78,$116.25
36,Wii,GHOSTSQUAD,$9.09,$9.55,$19.45
37,Wii,GODZILLAUNLEASHED,$32.74,$35.00,$89.96
38,Wii,GUILTYGEARXXACCENTCORE,$12.09,$19.10,$44.11
39,Wii,GUNBLADENYLAMACHINEGUNSARCADEHITSPACK,$72.00,$79.95,$95.74
40,Wii,HARVESTMOONANIMALPARADE,$24.99,$28.13,$53.63
