Platform,Game Summary,Publisher,3D,Title,Series,Series Order,Rating,Genre,Subgenre,IGN Score,Release Date,Developers,Players,Country of Purchase,Input Devices,Media Type,Special Edition,Discs,Packaging,Preordered,Quantity,Estimated Value,Purchase Price,Purchase Date,Condition,Notes,Barcode,Item ID,Date Added, Collection/Wishlist
DS,"An international conspiracy has placed the UK’s most secretive bio-chemical project into deadly hands, and only Her Majesty’s most lethal agent, James Bond, can unravel the mystery. To navigate through layers of corruption, you, as Bond, will embark on a global chase that will have you battling on land, sea and air through Athens, Istanbul, Monaco, and Bangkok. Nothing is what it seems as each adventure reveals a deeper and more sinister conspiracy. A mix of third-person gunplay, hand-to-hand combat and the driving action, James Bond 007: Blood Stone features Daniel Craig, Judi Dench and Joss Stone. The game features various modes and multiplayer mode for up to 16 people. Engage in precise cover-based gameplay and tactical firefights, and speed your way through explosive, adrenalin-fueled driving sequences. Become Bond as he engages in intense hand-to-hand combat and uses his environment to finish off enemies.",Activision,No,007: Blood Stone,,,T,Third Person Shooter,,,12/31/1969,,,United States,Handheld Console,Cartridge,,,Snap Case,,1,,$9.47 ,6/7/2021,Complete In Case,Lukie Games,47875837270,1147616,6/11/2021 16:28,Collection
DS,"James Bond is back to settle the score in Quantum of Solace: The Game. Introducing a more lethal and cunningly efficient Bond, the game blends intense first-person action with a unique third-person cover combat system that allows players to truly feel what it is like to be the ultimate secret agent as they use their stealth, precision shooting and lethal combat skills to progress through missions.
Seamlessly blending the heart-pounding action and excitement of the upcoming Quantum of Solace feature film with the Casino Royale movie, the title propels players into the cinematic experience of international espionage. Based on the renowned Call of Duty 4: Modern Warfare game engine that has been specifically engineered to immerse players in the Bond universe, Quantum of Solace: The Game delivers superior high-definition graphics, reactive AI and visually stunning locations inspired by locales portrayed in the films.",Activision,,007: Quantum Of Solace,,,T,First Person Shooter,,6.8,11/4/2008,Vicarious Visions,1,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$5.39 ,$5.39 ,12/7/2011,Complete In Case,???,47875832756,960421,1/3/2019 20:16,Collection
DS,,DSI Games,No,1 Vs 100,,,E,Trivia,,,12/31/1969,,,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$3.33 ,1/19/2020,Complete In Case,eBay,8.02E+11,1046256,1/23/2020 22:47,Collection
DS,Play classic games.,Ubisoft,No,100 All-Time Favorites,,,E,Board,,,10/27/2009,Ubisoft,2,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$7.99 ,1/2/2020,Used,"Complete in Case
eBay",8888165675,1205319,2/1/2020 15:40,Collection
DS,,Nintendo,No,100 Classic Books,,,E,Educational,,0,6/14/2010,Nintendo,1,United States,Handheld Console,Cartridge,,0,Snap Case,No,1,,$4.49 ,12/31/2019,Complete In Case,GameStop - Judson Market,45496740962,1162305,2/1/2020 21:01,Collection
DS,,Maximum Family Games,No,1001 Touch Games,,,E,Compilation,,,12/31/2000,Avanquest Software,4,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$12.18 ,12/9/2019,Used,"Complete in Case
eBay",8.14E+11,1183677,2/1/2020 16:33,Collection
DS,,Atlus,,101 In 1 Sports Megamix,,,E10+,"Sports, Compilation",,,12/31/1969,Atlus,2,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$20.00 ,$20.00 ,8/8/2012,Sealed In Case,Toys R Us,7.31E+11,1043405,1/3/2019 15:07,Collection
Wii,Download,Atlus,,101 In 1: Party Megamix,,,E10+,Compilation,,,12/31/1969,Atlus,4,United States,Motion Sensing Remote,DVD,No,1,Snap Case,No,1,$5.99 ,$5.99 ,8/5/2013,,,7.31E+11,925715,1/3/2019 15:07,Collection
DS,"101 addictive games! Arcade, sports, puzzles, Suduko, and more!",Atlus,,101 in 1 Explosive Megamix,,,E,Platform,,2.5,4/21/2009,Atlus,2,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,,$13.49 ,12/23/2011,Complete In Case,???,7.31E+11,972094,1/3/2019 20:16,Collection
Nintendo 64,Complete.,Nintendo,No,1080 Snowboarding,,,,"Racing, Sports",,8.6,11/30/1998,Nintendo,2,Canada,Controller Game Pad,Cartridge,No,0,Cardboard Box,No,1,,,,,,45496870249,984618,1/3/2019 15:06,Collection
DS,,Destineer,No,18 Classic Card Games,,,T,,,,12/31/1969,,,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$4.99 ,1/5/2020,Complete In Case,eBay,8.28E+11,1334210,1/20/2020 15:28,Collection
DS,50 classic games,Adventure Soft,No,50 Classic Games,,,E,"Board, Compilation",,5,,Destineer,1,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$7.99 ,12/30/2019,Complete In Case,Game Over - 410,8.28E+11,963551,1/21/2020 22:25,Collection
DS,,Destineer,No,50 More Classic Games,,,E,Compilation,,,12/31/1969,,1,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$4.77 ,1/24/2020,Used,"Complete in Case
eBay",8.28E+11,1175285,2/3/2020 19:15,Collection
Sega Genesis,"Goldenaxe, Sonic The Hedgehog, Columns, Revenge Of Shinobi, Streets Of Rage, Super Hang-On
cib",Sega,No,6-Pak,,,E,"Action, Fantasy, Fighting, Hack n’ Slash, Platform, Puzzle, Racing, Sports, Compilation",,8,1/1/1995,Sega,2,United States,Controller Game Pad,Cartridge,No,0,Thick Snap Case,No,1,,,,,,10086017175,1065297,1/3/2019 15:06,Collection
DS,,Mumbo Jumbo,,7 Wonders II,,,E,Puzzle,,,12/31/1969,,,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$16.19 ,$16.19 ,,Complete In Case,???,8.12E+11,1064251,1/3/2019 15:07,Collection
DS,,Mumbo Jumbo,No,7 Wonders of the Ancient World,,,E,Puzzle,,,12/31/1969,,,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$9.47 ,2/16/2020,Complete In Case,Lukie Games,8.12E+11,930853,2/23/2020 20:02,Collection
DS,,Mumbo Jumbo,No,7 Wonders: Treasures of Seven,,,E,Puzzle,,,12/31/1969,,1,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$5.99 ,5/2/2020,Sealed In Case,eBay,8.12E+11,1207861,5/9/2020 21:20,Collection
3DS,,Sega,Yes,7th Dragon III Code: VFD (Launch Edition),,,T,Role Playing Game,,,7/12/2016,Criware,1,United States,Handheld Console,Cartridge,Yes,,Box Set,No,1,,$34.63 ,7/12/2016,Sealed In Box,Best Buy,10086611212,1504265,1/11/2019 19:38,Collection
Wii,Feed the blob jellybeans to advance.,Majesco Entertainment,No,A Boy And His Blob,,,E,"Platform, Puzzle",,7.6,10/9/2009,Wayforward,1,United States,Motion Sensing Remote,DVD,No,1,Snap Case,No,1,$6.29 ,$6.29 ,3/23/2013,,,96427016120,1340739,1/3/2019 15:06,Collection
DS,,NIS America,No,A Witch’s Tale,,,E10+,Role Playing Game,,,10/13/2009,Hit Maker,1,United States,Handheld Console,Cartridge,No,1,Snap Case,No,1,,,1/26/2015,Used,"Complete in Case
eBay",8.58E+11,1217798,1/3/2019 17:58,Collection
Wii,,Mad Duck Productions,No,AMF Bowling Pinbusters!,,,E,Sports,,2,11/20/2007,Atomic Planet Entertainment,4,United States,Motion Sensing Remote,DVD,No,1,Snap Case,No,1,$4.00 ,$4.00 ,6/4/2018,Complete In Case,GameStop - University Heights,93155126503,1167216,1/3/2019 15:07,Collection
DS,,Vir2L Studios,No,AMF Bowling Pinbusters!,,,E,Sports,,,12/31/1969,,,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$11.55 ,1/6/2020,Complete In Case,eBay,93155127609,1167217,1/20/2020 15:23,Collection
DS,,Majesco,No,ATV Quad Frenzy,,,E,Racing,,4.8,11/22/2005,Skyworks Interactive,4,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,,$11.69 ,4/22/2012,Complete In Case,???,96427014133,1228636,1/3/2019 18:47,Collection
DS,,Storm City Games,No,ATV Quad Kings,,,E,"Racing, Simulation",,,12/31/1969,,,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$5.00 ,11/26/2019,Complete In Case,Game Over - 410,8.14E+11,1385457,2/1/2020 14:48,Collection
DS,,DSI Games,No,ATV Thunder Ridge Riders / Monster Trucks Mayhem,,,E,Racing,,,8/9/2007,,2-Jan,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$7.99 ,12/30/2019,Complete In Case,Game Over - I-35,8.02E+11,1382233,1/22/2020 21:43,Collection
DS,,Destineer,No,ATV: Wild Ride,,,E,,,,12/31/1969,,,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$5.00 ,2/23/2020,Used,"Complete in Case
eBay",8.28E+11,1509687,10/3/2020 20:47,Collection
DS,,Capcom,No,Ace Attorney: Apollo Justice,,,T,Adventure,,8.3,2/19/2008,Capcom,1,United States,Handheld Console,Cartridge,No,1,Snap Case,No,1,$13.00 ,$13.00 ,7/17/2011,Complete In Case,???,13388320127,1000365,1/3/2019 21:07,Collection
DS,,Capcom,No,Ace Attorney: Miles Edgeworth: Investigations,,,T,Puzzle,,7.6,2/16/2010,Capcom,1,United States,Handheld Console,Cartridge,No,1,Snap Case,No,1,,$10.80 ,7/20/2014,Complete In Case,GameStop - Arbor Park,13388320189,1269463,1/3/2019 17:54,Collection
3DS,,Namco Bandai Games,No,Ace Combat: Assault Horizon Legacy +,,,T,,,,2/5/2015,Access Games,1,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$19.99 ,12/31/2019,Sealed In Case,Amazon,7.23E+11,1427894,1/26/2020 20:50,Collection
Wii,,Bandai,,Active Life: Magical Carnival,,,E,,,,1/1/2011,Bandai Namco Games,2,United States,Motion Sensing Remote,DVD,No,,Snap Case,No,1,$5.99 ,$5.99 ,8/5/2013,,,7.23E+11,1302645,1/3/2019 15:07,Collection
